,Date,PAR,SST,site
359,2011-08-01,36,16,C
360,2011-09-01,38,28,C
361,2011-10-01,31,25,C
362,2011-11-01,33,19,C
363,2011-12-01,41,16,C
364,2012-01-01,46,21,C
365,2012-02-01,31,29,C
366,2012-03-01,33,16,C
367,2012-04-01,41,17,C
368,2012-05-01,48,25,C
369,2012-06-01,46,15,C
370,2012-07-01,36,28,C
371,2012-08-01,40,25,C
372,2012-09-01,48,24,C
373,2012-10-01,32,25,C
374,2012-11-01,38,30,C
375,2012-12-01,42,20,C
376,2013-01-01,32,16,C
377,2013-02-01,42,25,C
378,2013-03-01,48,26,C
379,2013-04-01,39,15,C
380,2013-05-01,44,24,C
381,2013-06-01,39,22,C
382,2013-07-01,30,28,C
383,2013-08-01,40,30,C
384,2013-09-01,30,22,C
385,2013-10-01,39,19,C
386,2013-11-01,46,30,C
387,2013-12-01,48,29,C
388,2014-01-01,46,15,C
389,2014-02-01,42,18,C
390,2014-03-01,34,23,C
391,2014-04-01,47,21,C
392,2014-05-01,48,15,C
393,2014-06-01,46,22,C
394,2014-07-01,37,18,C
395,2014-08-01,38,24,C
396,2014-09-01,46,22,C
397,2014-10-01,49,15,C
398,2014-11-01,44,22,C
399,2014-12-01,38,25,C
